council,councillor_index_url,error
Essex,https://democracy.essex.gov.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.essex.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.essex.gov.uk', port=443): Failed to resolve 'democracy.essex.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Exeter,https://democracy.exeter.gov.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.exeter.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.exeter.gov.uk', port=443): Failed to resolve 'democracy.exeter.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Falkirk,https://democracy.falkirk.gov.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.falkirk.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.falkirk.gov.uk', port=443): Failed to resolve 'democracy.falkirk.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Folkestone and Hythe,https://democracy.folkestoneandhythe.gov.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.folkestoneandhythe.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.folkestoneandhythe.gov.uk', port=443): Failed to resolve 'democracy.folkestoneandhythe.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Forest of Dean,https://democracy.forestofdean.gov.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.forestofdean.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.forestofdean.gov.uk', port=443): Failed to resolve 'democracy.forestofdean.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Glasgow City,https://democracy.glasgowcity.gov.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.glasgowcity.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.glasgowcity.gov.uk', port=443): Failed to resolve 'democracy.glasgowcity.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Hartlepool,https://democracy.hartlepool.gov.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.hartlepool.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.hartlepool.gov.uk', port=443): Failed to resolve 'democracy.hartlepool.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Isle of Wight,https://democracy.isleofwight.gov.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.isleofwight.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.isleofwight.gov.uk', port=443): Failed to resolve 'democracy.isleofwight.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
King's Lynn and West Norfolk,https://democracy.kingslynnandwestnorfolk.gov.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.kingslynnandwestnorfolk.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.kingslynnandwestnorfolk.gov.uk', port=443): Failed to resolve 'democracy.kingslynnandwestnorfolk.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Leicestershire,https://democracy.leicestershire.gov.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.leicestershire.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.leicestershire.gov.uk', port=443): Failed to resolve 'democracy.leicestershire.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Newcastle-under-Lyme,https://democracy.newcastleunderlyme.gov.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.newcastleunderlyme.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.newcastleunderlyme.gov.uk', port=443): Failed to resolve 'democracy.newcastleunderlyme.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Norfolk,https://democracy.norfolk.gov.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.norfolk.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.norfolk.gov.uk', port=443): Failed to resolve 'democracy.norfolk.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
North Ayrshire,https://democracy.northayrshire.gov.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.northayrshire.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.northayrshire.gov.uk', port=443): Failed to resolve 'democracy.northayrshire.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
North East Derbyshire,https://democracy.northeastderbyshire.gov.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.northeastderbyshire.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.northeastderbyshire.gov.uk', port=443): Failed to resolve 'democracy.northeastderbyshire.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
North East Lincolnshire,https://democracy.northeastlincolnshire.gov.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.northeastlincolnshire.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.northeastlincolnshire.gov.uk', port=443): Failed to resolve 'democracy.northeastlincolnshire.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
North Northamptonshire,https://democracy.northnorthamptonshire.gov.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.northnorthamptonshire.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.northnorthamptonshire.gov.uk', port=443): Failed to resolve 'democracy.northnorthamptonshire.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
North Somerset,https://democracy.northsomerset.gov.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.northsomerset.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.northsomerset.gov.uk', port=443): Failed to resolve 'democracy.northsomerset.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
North Warwickshire,https://democracy.northwarwickshire.gov.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.northwarwickshire.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.northwarwickshire.gov.uk', port=443): Failed to resolve 'democracy.northwarwickshire.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
North West Leicestershire,https://democracy.northwestleicestershire.gov.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.northwestleicestershire.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.northwestleicestershire.gov.uk', port=443): Failed to resolve 'democracy.northwestleicestershire.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
North Yorkshire,https://democracy.northyorkshire.gov.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.northyorkshire.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.northyorkshire.gov.uk', port=443): Failed to resolve 'democracy.northyorkshire.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Nottinghamshire,https://democracy.nottinghamshire.gov.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.nottinghamshire.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.nottinghamshire.gov.uk', port=443): Failed to resolve 'democracy.nottinghamshire.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Oxfordshire,https://democracy.oxfordshire.gov.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.oxfordshire.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.oxfordshire.gov.uk', port=443): Failed to resolve 'democracy.oxfordshire.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Pendle,https://democracy.pendle.gov.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.pendle.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.pendle.gov.uk', port=443): Failed to resolve 'democracy.pendle.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Renfrewshire,https://democracy.renfrewshire.gov.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.renfrewshire.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.renfrewshire.gov.uk', port=443): Failed to resolve 'democracy.renfrewshire.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Shropshire,https://democracy.shropshire.gov.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.shropshire.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.shropshire.gov.uk', port=443): Failed to resolve 'democracy.shropshire.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
South Holland,https://democracy.southholland.gov.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.southholland.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.southholland.gov.uk', port=443): Failed to resolve 'democracy.southholland.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
South Lanarkshire,https://democracy.southlanarkshire.gov.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.southlanarkshire.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.southlanarkshire.gov.uk', port=443): Failed to resolve 'democracy.southlanarkshire.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Southend-on-Sea,https://democracy.southendonsea.gov.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.southendonsea.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.southendonsea.gov.uk', port=443): Failed to resolve 'democracy.southendonsea.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Stratford-on-Avon,https://democracy.stratfordonavon.gov.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.stratfordonavon.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.stratfordonavon.gov.uk', port=443): Failed to resolve 'democracy.stratfordonavon.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Suffolk,https://democracy.suffolk.gov.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.suffolk.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.suffolk.gov.uk', port=443): Failed to resolve 'democracy.suffolk.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Tendring,https://democracy.tendring.gov.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.tendring.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.tendring.gov.uk', port=443): Failed to resolve 'democracy.tendring.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Torfaen,https://democracy.torfaen.gov.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.torfaen.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.torfaen.gov.uk', port=443): Failed to resolve 'democracy.torfaen.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
West Northamptonshire,https://democracy.westnorthamptonshire.gov.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.westnorthamptonshire.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.westnorthamptonshire.gov.uk', port=443): Failed to resolve 'democracy.westnorthamptonshire.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Wiltshire,https://democracy.wiltshire.gov.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.wiltshire.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.wiltshire.gov.uk', port=443): Failed to resolve 'democracy.wiltshire.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Windsor and Maidenhead,https://democracy.windsorandmaidenhead.gov.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.windsorandmaidenhead.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.windsorandmaidenhead.gov.uk', port=443): Failed to resolve 'democracy.windsorandmaidenhead.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Worcester,https://democracy.worcester.gov.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.worcester.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.worcester.gov.uk', port=443): Failed to resolve 'democracy.worcester.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
