council,option,status,final
Blaby,https://blaby.gov.uk/,,"HTTPSConnectionPool(host='blaby.gov.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='blaby.gov.uk', port=443): Failed to resolve 'blaby.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Blaby,https://www.blaby.gov.uk/,,"HTTPSConnectionPool(host='www.blaby.gov.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='www.blaby.gov.uk', port=443): Failed to resolve 'www.blaby.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Blaby,https://democracy.blaby.gov.uk/,,"HTTPSConnectionPool(host='democracy.blaby.gov.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='democracy.blaby.gov.uk', port=443): Failed to resolve 'democracy.blaby.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Blaby,https://blaby.moderngov.co.uk/,,"HTTPSConnectionPool(host='blaby.moderngov.co.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='blaby.moderngov.co.uk', port=443): Failed to resolve 'blaby.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Blaby,https://blaby.gov.uk/meetings/,,"HTTPSConnectionPool(host='blaby.gov.uk', port=443): Max retries exceeded with url: /meetings/ (Caused by NameResolutionError(""HTTPSConnection(host='blaby.gov.uk', port=443): Failed to resolve 'blaby.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Blackpool,https://blackpool.gov.uk/,,"HTTPSConnectionPool(host='blackpool.gov.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='blackpool.gov.uk', port=443): Failed to resolve 'blackpool.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Blackpool,https://www.blackpool.gov.uk/,,"HTTPSConnectionPool(host='www.blackpool.gov.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='www.blackpool.gov.uk', port=443): Failed to resolve 'www.blackpool.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Blackpool,https://democracy.blackpool.gov.uk/,,"HTTPSConnectionPool(host='democracy.blackpool.gov.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='democracy.blackpool.gov.uk', port=443): Failed to resolve 'democracy.blackpool.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Blackpool,https://blackpool.moderngov.co.uk/,,"HTTPSConnectionPool(host='blackpool.moderngov.co.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='blackpool.moderngov.co.uk', port=443): Failed to resolve 'blackpool.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Blackpool,https://blackpool.gov.uk/meetings/,,"HTTPSConnectionPool(host='blackpool.gov.uk', port=443): Max retries exceeded with url: /meetings/ (Caused by NameResolutionError(""HTTPSConnection(host='blackpool.gov.uk', port=443): Failed to resolve 'blackpool.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Bolsover,https://bolsover.gov.uk/,,"HTTPSConnectionPool(host='bolsover.gov.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='bolsover.gov.uk', port=443): Failed to resolve 'bolsover.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Bolsover,https://www.bolsover.gov.uk/,,"HTTPSConnectionPool(host='www.bolsover.gov.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='www.bolsover.gov.uk', port=443): Failed to resolve 'www.bolsover.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Bolsover,https://democracy.bolsover.gov.uk/,,"HTTPSConnectionPool(host='democracy.bolsover.gov.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='democracy.bolsover.gov.uk', port=443): Failed to resolve 'democracy.bolsover.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Bolsover,https://bolsover.moderngov.co.uk/,,"HTTPSConnectionPool(host='bolsover.moderngov.co.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='bolsover.moderngov.co.uk', port=443): Failed to resolve 'bolsover.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Bolsover,https://bolsover.gov.uk/meetings/,,"HTTPSConnectionPool(host='bolsover.gov.uk', port=443): Max retries exceeded with url: /meetings/ (Caused by NameResolutionError(""HTTPSConnection(host='bolsover.gov.uk', port=443): Failed to resolve 'bolsover.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Boston,https://boston.gov.uk/,,"HTTPSConnectionPool(host='boston.gov.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='boston.gov.uk', port=443): Failed to resolve 'boston.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Boston,https://www.boston.gov.uk/,,"HTTPSConnectionPool(host='www.boston.gov.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='www.boston.gov.uk', port=443): Failed to resolve 'www.boston.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Boston,https://democracy.boston.gov.uk/,,"HTTPSConnectionPool(host='democracy.boston.gov.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='democracy.boston.gov.uk', port=443): Failed to resolve 'democracy.boston.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Boston,https://boston.moderngov.co.uk/,,"HTTPSConnectionPool(host='boston.moderngov.co.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='boston.moderngov.co.uk', port=443): Failed to resolve 'boston.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Boston,https://boston.gov.uk/meetings/,,"HTTPSConnectionPool(host='boston.gov.uk', port=443): Max retries exceeded with url: /meetings/ (Caused by NameResolutionError(""HTTPSConnection(host='boston.gov.uk', port=443): Failed to resolve 'boston.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Breckland,https://breckland.gov.uk/,,"HTTPSConnectionPool(host='breckland.gov.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='breckland.gov.uk', port=443): Failed to resolve 'breckland.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Breckland,https://www.breckland.gov.uk/,,"HTTPSConnectionPool(host='www.breckland.gov.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='www.breckland.gov.uk', port=443): Failed to resolve 'www.breckland.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Breckland,https://democracy.breckland.gov.uk/,,"HTTPSConnectionPool(host='democracy.breckland.gov.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='democracy.breckland.gov.uk', port=443): Failed to resolve 'democracy.breckland.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Breckland,https://breckland.moderngov.co.uk/,,"HTTPSConnectionPool(host='breckland.moderngov.co.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='breckland.moderngov.co.uk', port=443): Failed to resolve 'breckland.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Breckland,https://breckland.gov.uk/meetings/,,"HTTPSConnectionPool(host='breckland.gov.uk', port=443): Max retries exceeded with url: /meetings/ (Caused by NameResolutionError(""HTTPSConnection(host='breckland.gov.uk', port=443): Failed to resolve 'breckland.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Bridgend,https://bridgend.gov.uk/,,"HTTPSConnectionPool(host='bridgend.gov.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='bridgend.gov.uk', port=443): Failed to resolve 'bridgend.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Bridgend,https://www.bridgend.gov.uk/,,"HTTPSConnectionPool(host='www.bridgend.gov.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='www.bridgend.gov.uk', port=443): Failed to resolve 'www.bridgend.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Bridgend,https://democracy.bridgend.gov.uk/,,"HTTPSConnectionPool(host='democracy.bridgend.gov.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='democracy.bridgend.gov.uk', port=443): Failed to resolve 'democracy.bridgend.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Bridgend,https://bridgend.moderngov.co.uk/,,"HTTPSConnectionPool(host='bridgend.moderngov.co.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='bridgend.moderngov.co.uk', port=443): Failed to resolve 'bridgend.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Bridgend,https://bridgend.gov.uk/meetings/,,"HTTPSConnectionPool(host='bridgend.gov.uk', port=443): Max retries exceeded with url: /meetings/ (Caused by NameResolutionError(""HTTPSConnection(host='bridgend.gov.uk', port=443): Failed to resolve 'bridgend.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Broxbourne,https://broxbourne.gov.uk/,,"HTTPSConnectionPool(host='broxbourne.gov.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='broxbourne.gov.uk', port=443): Failed to resolve 'broxbourne.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Broxbourne,https://www.broxbourne.gov.uk/,,"HTTPSConnectionPool(host='www.broxbourne.gov.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='www.broxbourne.gov.uk', port=443): Failed to resolve 'www.broxbourne.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Broxbourne,https://democracy.broxbourne.gov.uk/,,"HTTPSConnectionPool(host='democracy.broxbourne.gov.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='democracy.broxbourne.gov.uk', port=443): Failed to resolve 'democracy.broxbourne.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Broxbourne,https://broxbourne.moderngov.co.uk/,,"HTTPSConnectionPool(host='broxbourne.moderngov.co.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='broxbourne.moderngov.co.uk', port=443): Failed to resolve 'broxbourne.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Broxbourne,https://broxbourne.gov.uk/meetings/,,"HTTPSConnectionPool(host='broxbourne.gov.uk', port=443): Max retries exceeded with url: /meetings/ (Caused by NameResolutionError(""HTTPSConnection(host='broxbourne.gov.uk', port=443): Failed to resolve 'broxbourne.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Buckinghamshire,https://buckinghamshire.gov.uk/,,"HTTPSConnectionPool(host='buckinghamshire.gov.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='buckinghamshire.gov.uk', port=443): Failed to resolve 'buckinghamshire.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Buckinghamshire,https://www.buckinghamshire.gov.uk/,,"HTTPSConnectionPool(host='www.buckinghamshire.gov.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='www.buckinghamshire.gov.uk', port=443): Failed to resolve 'www.buckinghamshire.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Buckinghamshire,https://democracy.buckinghamshire.gov.uk/,,"HTTPSConnectionPool(host='democracy.buckinghamshire.gov.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='democracy.buckinghamshire.gov.uk', port=443): Failed to resolve 'democracy.buckinghamshire.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Buckinghamshire,https://buckinghamshire.moderngov.co.uk/,,"HTTPSConnectionPool(host='buckinghamshire.moderngov.co.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='buckinghamshire.moderngov.co.uk', port=443): Failed to resolve 'buckinghamshire.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Buckinghamshire,https://buckinghamshire.gov.uk/meetings/,,"HTTPSConnectionPool(host='buckinghamshire.gov.uk', port=443): Max retries exceeded with url: /meetings/ (Caused by NameResolutionError(""HTTPSConnection(host='buckinghamshire.gov.uk', port=443): Failed to resolve 'buckinghamshire.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Calderdale,https://calderdale.gov.uk/,,"HTTPSConnectionPool(host='calderdale.gov.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='calderdale.gov.uk', port=443): Failed to resolve 'calderdale.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Calderdale,https://www.calderdale.gov.uk/,,"HTTPSConnectionPool(host='www.calderdale.gov.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='www.calderdale.gov.uk', port=443): Failed to resolve 'www.calderdale.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Calderdale,https://democracy.calderdale.gov.uk/,,"HTTPSConnectionPool(host='democracy.calderdale.gov.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='democracy.calderdale.gov.uk', port=443): Failed to resolve 'democracy.calderdale.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Calderdale,https://calderdale.moderngov.co.uk/,,"HTTPSConnectionPool(host='calderdale.moderngov.co.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='calderdale.moderngov.co.uk', port=443): Failed to resolve 'calderdale.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
