name,council,reason
Alan Cecil,Kent,missing_register_url
Albert Thorp,Kent,missing_register_url
Amelia Randall,Kent,missing_register_url
Bill Barrett,Kent,missing_register_url
Beverley Fordham,Kent,missing_register_url
Brian Black,Kent,missing_register_url
Ben Fryer,Kent,missing_register_url
Thomas Kerr,Glasgow City,missing_register_url
Brian Collins,Kent,missing_register_url
Chris Burwash,Kent,missing_register_url
Bridget Porter,Kent,missing_register_url
Chris Palmer,Kent,missing_register_url
Christopher Hespe,Kent,missing_register_url
David Wimble,Kent,missing_register_url
Dean Truder,Kent,missing_register_url
Diane Morton,Kent,missing_register_url
Dean Burns,Kent,missing_register_url
Daniel Taylor,Kent,missing_register_url
Dodger Sian,Kent,missing_register_url
Garry Sturley,Kent,missing_register_url
Georgia Foster,Kent,missing_register_url
James Defriend,Kent,missing_register_url
Isabella Kemp,Kent,missing_register_url
Jamie Henderson,Kent,missing_register_url
Jeremy Eustace,Kent,missing_register_url
John Finch,Kent,missing_register_url
Linden Kemkaran,Kent,missing_register_url
Luke Evans,Kent,missing_register_url
John Baker,Kent,missing_register_url
Mary Lawes,Kent,missing_register_url
Marc Logen,Kent,missing_register_url
Martin Paul,Kent,missing_register_url
Mark Mulvihill,Kent,missing_register_url
Matthew Moat,Kent,missing_register_url
Maxine Fothergill,Kent,missing_register_url
Nick Wibberley,Kent,missing_register_url
Michael Brown,Kent,missing_register_url
Oliver Bradshaw,Kent,missing_register_url
Maxwell Harrison,Kent,missing_register_url
Pamela Williams,Kent,missing_register_url
Paul Chamberlain,Kent,missing_register_url
Paul Thomas,Kent,missing_register_url
Peter Evans,Kent,missing_register_url
Paul King,Kent,missing_register_url
Paul Webb,Kent,missing_register_url
Peter Osborne,Kent,missing_register_url
Richard Palmer,Kent,missing_register_url
Robert Ford,Kent,missing_register_url
Robert Mayall,Kent,missing_register_url
Ryan Waters,Kent,missing_register_url
Sarah Emberson,Kent,missing_register_url
Spencer Dixon,Kent,missing_register_url
Thomas Mallon,Kent,missing_register_url
Sharon Roots,Kent,missing_register_url
Terry Mole,Kent,missing_register_url
Peter Hodson,King's Lynn and West Norfolk,missing_register_url
Trevor Shonk,Kent,missing_register_url
Wayne Chapman,Kent,missing_register_url
Alice Jones,Lancashire,missing_register_url
Andy Blake,Lancashire,missing_register_url
Ashley Joynes,Lancashire,missing_register_url
Brian Moore,Lancashire,missing_register_url
Clive Balchin,Lancashire,missing_register_url
David Dwyer,Lancashire,missing_register_url
