council,council_url,councillor_index_url
Teignbridge,https://teignbridge.gov.uk/,https://teignbridge.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Tendring,https://tendring.gov.uk/,https://tendring.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Thanet,https://thanet.gov.uk/,https://thanet.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Thurrock,https://thurrock.gov.uk/,https://thurrock.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Torfaen,https://torfaen.gov.uk/,https://torfaen.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Uttlesford,https://uttlesford.gov.uk/,https://uttlesford.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Warwickshire,https://warwickshire.gov.uk/,https://warwickshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
West Northamptonshire,https://westnorthamptonshire.gov.uk/,https://westnorthamptonshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
West Sussex,https://westsussex.gov.uk/,https://westsussex.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Wiltshire,https://wiltshire.gov.uk/,https://wiltshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Windsor and Maidenhead,https://windsorandmaidenhead.gov.uk/,https://windsorandmaidenhead.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Wolverhampton,https://wolverhampton.gov.uk/,https://wolverhampton.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Worcester,https://worcester.gov.uk/,https://worcester.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Worcestershire,https://worcestershire.gov.uk/,https://worcestershire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Wyre,https://wyre.gov.uk/,https://wyre.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
