council,index_url,error
East Hertfordshire,https://easthertfordshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"HTTPSConnectionPool(host='easthertfordshire.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='easthertfordshire.moderngov.co.uk', port=443): Failed to resolve 'easthertfordshire.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
East Lindsey,https://eastlindsey.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"HTTPSConnectionPool(host='eastlindsey.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='eastlindsey.moderngov.co.uk', port=443): Failed to resolve 'eastlindsey.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
East Riding of Yorkshire,https://eastridingofyorkshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"HTTPSConnectionPool(host='eastridingofyorkshire.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='eastridingofyorkshire.moderngov.co.uk', port=443): Failed to resolve 'eastridingofyorkshire.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Elmbridge,https://elmbridge.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"HTTPSConnectionPool(host='elmbridge.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='elmbridge.moderngov.co.uk', port=443): Failed to resolve 'elmbridge.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Epping Forest,https://eppingforest.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"HTTPSConnectionPool(host='eppingforest.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='eppingforest.moderngov.co.uk', port=443): Failed to resolve 'eppingforest.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Erewash,https://erewash.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"HTTPSConnectionPool(host='erewash.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='erewash.moderngov.co.uk', port=443): Failed to resolve 'erewash.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Essex,https://essex.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"HTTPSConnectionPool(host='essex.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='essex.moderngov.co.uk', port=443): Failed to resolve 'essex.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Exeter,https://exeter.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"HTTPSConnectionPool(host='exeter.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='exeter.moderngov.co.uk', port=443): Failed to resolve 'exeter.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Falkirk,https://falkirk.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"HTTPSConnectionPool(host='falkirk.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='falkirk.moderngov.co.uk', port=443): Failed to resolve 'falkirk.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Folkestone and Hythe,https://folkestoneandhythe.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"HTTPSConnectionPool(host='folkestoneandhythe.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='folkestoneandhythe.moderngov.co.uk', port=443): Failed to resolve 'folkestoneandhythe.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Forest of Dean,https://forestofdean.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"HTTPSConnectionPool(host='forestofdean.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='forestofdean.moderngov.co.uk', port=443): Failed to resolve 'forestofdean.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Glasgow City,https://glasgowcity.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"HTTPSConnectionPool(host='glasgowcity.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='glasgowcity.moderngov.co.uk', port=443): Failed to resolve 'glasgowcity.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Gloucestershire,https://gloucestershire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"HTTPSConnectionPool(host='gloucestershire.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='gloucestershire.moderngov.co.uk', port=443): Failed to resolve 'gloucestershire.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Harlow,https://harlow.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"HTTPSConnectionPool(host='harlow.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='harlow.moderngov.co.uk', port=443): Failed to resolve 'harlow.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Hartlepool,https://hartlepool.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"HTTPSConnectionPool(host='hartlepool.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='hartlepool.moderngov.co.uk', port=443): Failed to resolve 'hartlepool.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Havant,https://havant.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"HTTPSConnectionPool(host='havant.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='havant.moderngov.co.uk', port=443): Failed to resolve 'havant.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Hertfordshire,https://hertfordshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"HTTPSConnectionPool(host='hertfordshire.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='hertfordshire.moderngov.co.uk', port=443): Failed to resolve 'hertfordshire.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Isle of Wight,https://isleofwight.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"HTTPSConnectionPool(host='isleofwight.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='isleofwight.moderngov.co.uk', port=443): Failed to resolve 'isleofwight.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Kent,https://kent.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"HTTPSConnectionPool(host='kent.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='kent.moderngov.co.uk', port=443): Failed to resolve 'kent.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
King's Lynn and West Norfolk,https://kingslynnandwestnorfolk.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"HTTPSConnectionPool(host='kingslynnandwestnorfolk.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='kingslynnandwestnorfolk.moderngov.co.uk', port=443): Failed to resolve 'kingslynnandwestnorfolk.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Lancashire,https://lancashire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"HTTPSConnectionPool(host='lancashire.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='lancashire.moderngov.co.uk', port=443): Failed to resolve 'lancashire.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Leicestershire,https://leicestershire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"HTTPSConnectionPool(host='leicestershire.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='leicestershire.moderngov.co.uk', port=443): Failed to resolve 'leicestershire.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Lichfield,https://lichfield.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"HTTPSConnectionPool(host='lichfield.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='lichfield.moderngov.co.uk', port=443): Failed to resolve 'lichfield.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Lincolnshire,https://lincolnshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"HTTPSConnectionPool(host='lincolnshire.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='lincolnshire.moderngov.co.uk', port=443): Failed to resolve 'lincolnshire.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Mansfield,https://mansfield.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"HTTPSConnectionPool(host='mansfield.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='mansfield.moderngov.co.uk', port=443): Failed to resolve 'mansfield.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Medway,https://medway.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"HTTPSConnectionPool(host='medway.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='medway.moderngov.co.uk', port=443): Failed to resolve 'medway.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Newcastle-under-Lyme,https://newcastle-under-lyme.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"HTTPSConnectionPool(host='newcastle-under-lyme.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='newcastle-under-lyme.moderngov.co.uk', port=443): Failed to resolve 'newcastle-under-lyme.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Norfolk,https://norfolk.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"HTTPSConnectionPool(host='norfolk.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='norfolk.moderngov.co.uk', port=443): Failed to resolve 'norfolk.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
North Ayrshire,https://northayrshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"HTTPSConnectionPool(host='northayrshire.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='northayrshire.moderngov.co.uk', port=443): Failed to resolve 'northayrshire.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
North East Derbyshire,https://northeastderbyshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"HTTPSConnectionPool(host='northeastderbyshire.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='northeastderbyshire.moderngov.co.uk', port=443): Failed to resolve 'northeastderbyshire.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
North East Lincolnshire,https://northeastlincolnshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"HTTPSConnectionPool(host='northeastlincolnshire.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='northeastlincolnshire.moderngov.co.uk', port=443): Failed to resolve 'northeastlincolnshire.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
North Northamptonshire,https://northnorthamptonshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"HTTPSConnectionPool(host='northnorthamptonshire.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='northnorthamptonshire.moderngov.co.uk', port=443): Failed to resolve 'northnorthamptonshire.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
North Somerset,https://northsomerset.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"HTTPSConnectionPool(host='northsomerset.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='northsomerset.moderngov.co.uk', port=443): Failed to resolve 'northsomerset.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
North Warwickshire,https://northwarwickshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"HTTPSConnectionPool(host='northwarwickshire.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='northwarwickshire.moderngov.co.uk', port=443): Failed to resolve 'northwarwickshire.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
North West Leicestershire,https://northwestleicestershire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"HTTPSConnectionPool(host='northwestleicestershire.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='northwestleicestershire.moderngov.co.uk', port=443): Failed to resolve 'northwestleicestershire.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
North Yorkshire,https://northyorkshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"HTTPSConnectionPool(host='northyorkshire.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='northyorkshire.moderngov.co.uk', port=443): Failed to resolve 'northyorkshire.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Northumberland,https://northumberland.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"HTTPSConnectionPool(host='northumberland.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='northumberland.moderngov.co.uk', port=443): Failed to resolve 'northumberland.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Nottinghamshire,https://nottinghamshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"HTTPSConnectionPool(host='nottinghamshire.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='nottinghamshire.moderngov.co.uk', port=443): Failed to resolve 'nottinghamshire.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Oxfordshire,https://oxfordshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"HTTPSConnectionPool(host='oxfordshire.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='oxfordshire.moderngov.co.uk', port=443): Failed to resolve 'oxfordshire.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Pendle,https://pendle.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"HTTPSConnectionPool(host='pendle.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='pendle.moderngov.co.uk', port=443): Failed to resolve 'pendle.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Powys,https://powys.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"HTTPSConnectionPool(host='powys.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='powys.moderngov.co.uk', port=443): Failed to resolve 'powys.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Renfrewshire,https://renfrewshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"HTTPSConnectionPool(host='renfrewshire.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='renfrewshire.moderngov.co.uk', port=443): Failed to resolve 'renfrewshire.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
